# Nickel NiX S/A International
# Affiliation : NickeliXiste NiX Independent Research (sc • phys • mat • psy • phil)
# Session_ID: d66b21ae-8e30-461f-863a-a1cc252b8d03
# Config_Hash: 00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447
session_id,config_hash,run_id,beta_x,dtg,phi_force,max_deviation_mm,sensitivity_slope
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.10127068270303288,0.0020622734862929273,2.062273486292927e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.15,1,0.15,0.10127068270303288,0.005682638907327845,5.682638907327845e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.25,1,0.25,0.10127068270303288,0.008630762259628185,8.630762259628185e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.5,1,0.5,0.10127068270303288,0.013060011589665242,1.3060011589665243e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B2_D0.05,2,0.05,0.14056149886550934,0.0036232204272619163,3.623220427261916e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B2_D0.15,2,0.15,0.14056149886550934,0.009983861746093866,9.983861746093865e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B2_D0.25,2,0.25,0.14056149886550934,0.015163437017336637,1.5163437017336637e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B2_D0.5,2,0.5,0.14056149886550934,0.02294521123724092,2.294521123724092e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B3_D0.05,3,0.05,0.1500179340313723,0.0039914351430109666,3.991435143010966e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B3_D0.15,3,0.15,0.1500179340313723,0.010998485307844396,1.0998485307844396e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B3_D0.25,3,0.25,0.1500179340313723,0.016704441977759825,1.6704441977759826e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B3_D0.5,3,0.5,0.1500179340313723,0.025277049612282138,2.5277049612282136e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B4_D0.05,4,0.05,0.15200168332034353,0.004061588643265289,4.061588643265289e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B4_D0.15,4,0.15,0.15200168332034353,0.011191794785311935,1.1191794785311935e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B4_D0.25,4,0.25,0.15200168332034353,0.016998039401380012,1.6998039401380012e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B4_D0.5,4,0.5,0.15200168332034353,0.025721319265393946,2.5721319265393944e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B5_D0.05,5,0.05,0.1524053560902922,0.004074738228679711,4.074738228679711e-06
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B5_D0.15,5,0.15,0.1524053560902922,0.011228028750490605,1.1228028750490605e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B5_D0.25,5,0.25,0.1524053560902922,0.01705307135823679,1.705307135823679e-05
d66b21ae-8e30-461f-863a-a1cc252b8d03,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B5_D0.5,5,0.5,0.1524053560902922,0.025804593253569177,2.5804593253569177e-05
