# Nickel NiX S/A International
# Affiliation : NickeliXiste NiX Independent Research (sc • phys • mat • psy • phil)
# Session_ID: 9b278437-bc07-4b55-b0c9-ca6264c109bd
# Config_Hash: 00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447
session_id,config_hash,run_id,beta_x,dtg,aperp,phi,coherence,nuance_n,kappa,time_term,y_f_pred_m
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.0,0.10127068270303288,0.12289416092382155,0.0,0.007092299999999999,0.03067754284070505,0.0
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.05,0.10127068270303288,0.12289416092382155,0.006139592571566318,0.007092299999999999,0.03067754284070505,1.352791789278127e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.1,0.10127068270303288,0.12289416092382155,0.012248614570393902,0.007092299999999999,0.03067754284070505,2.698847688623424e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.15000000000000002,0.10127068270303288,0.12289416092382155,0.01829710128125262,0.007092299999999999,0.03067754284070505,4.0315653021506805e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.2,0.10127068270303288,0.12289416092382155,0.024256274366110164,0.007092299999999999,0.03067754284070505,5.34460363915972e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.25,0.10127068270303288,0.12289416092382155,0.03009907351068855,0.007092299999999999,0.03067754284070505,6.632000256614815e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.30000000000000004,0.10127068270303288,0.12289416092382155,0.03580061907376468,0.007092299999999999,0.03067754284070505,7.888273198836581e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.35000000000000003,0.10127068270303288,0.12289416092382155,0.04133859027650729,0.007092299999999999,0.03067754284070505,9.10850432736856e-07
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.4,0.10127068270303288,0.12289416092382155,0.046693508910232606,0.007092299999999999,0.03067754284070505,1.0288401832865076e-06
9b278437-bc07-4b55-b0c9-ca6264c109bd,00ada63abc26b416c1392f64688a5693b388db6bcce4b1cfae6fc42a4c461447,R_B1_D0.05,1,0.05,0.45,0.10127068270303288,0.12289416092382155,0.0518489242447947,0.007092299999999999,0.03067754284070505,1.1424340977624143e-06
